id,title,content,brief,target,type
51335,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
51435,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
51535,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
51635,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
51735,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
51835,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
51935,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
52035,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
51236,King Wen Tianxiang,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Tianxiang, crack Gua phase will be entitled to a reward of King Wen [consistent] for opening day King Wen [dry] box.",TX,6
51336,King Wen Tianxiang,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Tianxiang, crack Gua phase will be entitled to a reward of King Wen [consistent] for opening day King Wen [dry] box.",TX,6
51436,King Wen Tianxiang,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Tianxiang, crack Gua phase will be entitled to a reward of King Wen [consistent] for opening day King Wen [dry] box.",TX,6
51536,King Wen Tianxiang,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Tianxiang, crack Gua phase will be entitled to a reward of King Wen [consistent] for opening day King Wen [dry] box.",TX,6
